Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr arêtes,Nbr vertices ,Average weights,Variances of weights ,SD of weights, Nbr Edgess,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,48,12,60,29.589,270.000,10,8,6.00,18.40,4.29,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
2,48,12,60,29.125,520.000,10,8,6.00,18.40,4.29,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
3,48,12,60,30.161,450.000,10,8,6.00,18.40,4.29,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
4,48,12,60,27.553,170.000,10,8,6.00,18.40,4.29,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
5,48,12,60,27.986,380.000,10,8,6.00,18.40,4.29,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
6,48,12,60,28.218,190.000,10,8,6.00,18.40,4.29,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
7,48,12,60,27.053,380.000,10,8,6.00,18.40,4.29,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
8,48,12,60,30.325,190.000,10,8,6.00,18.40,4.29,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
9,48,12,60,28.276,350.000,10,8,6.00,18.40,4.29,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
10,48,12,60,28.277,240.000,10,8,6.00,18.40,4.29,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
