Run N,intra cut size , inter cut size, Total flows,Run time,ES,Nbr vertices , Nbr Edges,Nbr Violated constraintes, Cont T_M_C,Cont Cohab, Cont NON Coha, Partition 
1,48,12,60,17.443,98.000,8,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
2,48,12,60,13.368,626.000,8,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
3,48,12,60,13.635,103.000,8,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
4,48,12,60,13.425,32.000,8,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
5,48,12,60,13.226,18.000,8,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
6,48,12,60,13.083,54.000,8,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
7,48,12,60,13.249,498.000,8,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
8,48,12,60,12.946,473.000,8,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
9,48,12,60,14.111,378.000,8,10,0,0,0,0,{0 }	{1 2 4 }	{3 5 6 }	{7 }	
10,48,12,60,14.201,240.000,8,10,0,0,0,0,{1 2 4 }	{3 5 6 }	{7 }	{0 }	
